GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
337,118,4,B,B,9.65,1,1
324,107,4,B,B,8.87,1,1
316,104,3,C,C,8.0,1,1
322,110,3,C,D,8.67,1,1
314,103,2,D,C,8.21,0,1
330,115,5,B,C,9.34,1,1
321,109,3,C,B,8.2,1,1
308,101,2,C,B,7.9,0,1
302,102,1,D,F,8.0,0,0
323,108,3,C,C,8.6,0,0
325,106,3,C,B,8.4,1,0
327,111,4,B,B,9.0,1,1
328,112,4,B,B,9.1,1,1
307,109,3,B,C,8.0,1,1
311,104,3,C,D,8.2,1,1
314,105,3,C,D,8.3,0,0
317,107,3,B,C,8.7,0,1
319,106,3,B,C,8.0,1,1
318,110,3,B,C,8.8,0,1
303,102,3,C,C,8.5,0,1
312,107,3,C,D,7.9,1,1
325,114,4,C,D,8.4,0,1
328,116,5,A,A,9.5,1,1
334,119,5,A,B,9.7,1,1
336,119,5,B,C,9.8,1,1
340,120,5,B,B,9.6,1,1
322,109,5,B,C,8.8,0,1
298,98,2,F,D,7.5,1,0
295,93,1,D,D,7.2,0,0
310,99,2,F,D,7.3,0,0
300,97,2,C,C,8.1,1,1
327,103,3,B,B,8.3,1,1
338,118,4,C,B,9.4,1,1
340,114,5,B,B,9.6,1,1
331,112,5,B,A,9.8,1,1
320,110,5,A,A,9.2,1,1
299,106,2,B,B,8.4,0,1
300,105,1,F,D,7.8,0,0
304,105,1,C,F,7.5,0,0
307,108,2,B,C,7.7,0,0
308,110,3,C,C,8.0,1,0
316,105,2,D,D,8.2,1,0
313,107,2,D,D,8.5,1,0
332,117,4,B,B,9.1,0,1
326,113,5,B,B,9.4,1,1
322,110,5,A,B,9.1,1,1
329,114,5,B,A,9.3,1,1
339,119,5,B,B,9.7,0,1
321,110,3,C,A,8.85,1,1
327,111,4,C,B,8.4,1,1
313,98,3,D,B,8.3,1,1
312,100,2,F,C,7.9,1,0
334,116,4,B,C,8.0,1,1
324,112,4,B,D,8.1,1,1
322,110,3,C,C,8.0,0,1
320,103,3,C,C,7.7,0,1
316,102,3,D,C,7.4,0,1
298,99,2,B,D,7.6,0,0
300,99,1,C,D,6.8,1,0
311,104,2,D,D,8.3,0,0
309,100,2,C,C,8.1,0,0
307,101,3,B,C,8.2,0,0
304,105,2,C,C,8.2,1,0
315,107,2,B,C,8.5,1,0
325,111,3,C,C,8.7,0,0
325,112,4,C,C,8.92,0,0
327,114,3,C,C,9.02,0,1
316,107,2,C,C,8.64,1,0
318,109,3,C,B,9.22,1,1
328,115,4,B,B,9.16,1,1
332,118,5,A,A,9.64,1,1
336,112,5,A,A,9.76,1,1
321,111,5,A,A,9.45,1,1
314,108,4,B,B,9.04,1,1
314,106,3,C,A,8.9,0,1
329,114,2,D,B,8.56,1,1
