"age","workclass","educatoin_num","marital_status","occupation","race","sex","hours_per_week","income"
39,"Government",13,"Single","White-Collar","White","Male",40,"<=50K"
50,"Self-Employed",13,"Married","White-Collar","White","Male",13,"<=50K"
38,"Private",9,"Divorced","Blue-Collar","White","Male",40,"<=50K"
53,"Private",7,"Married","Blue-Collar","Black","Male",40,"<=50K"
28,"Private",13,"Married","Professional","Black","Female",40,"<=50K"
37,"Private",14,"Married","White-Collar","White","Female",40,"<=50K"
49,"Private",5,"Married","Service","Black","Female",16,"<=50K"
52,"Self-Employed",9,"Married","White-Collar","White","Male",45,">50K"
31,"Private",14,"Single","Professional","White","Female",50,">50K"
42,"Private",13,"Married","White-Collar","White","Male",40,">50K"
37,"Private",10,"Married","White-Collar","Black","Male",80,">50K"
30,"Government",13,"Married","Professional","Asian-Pac-Islander","Male",40,">50K"
23,"Private",13,"Single","White-Collar","White","Female",30,"<=50K"
32,"Private",12,"Single","Sales","Black","Male",50,"<=50K"
40,"Private",11,"Married","Blue-Collar","Asian-Pac-Islander","Male",40,">50K"
34,"Private",4,"Married","Blue-Collar","Amer-Indian-Eskimo","Male",45,"<=50K"
25,"Self-Employed",9,"Single","Blue-Collar","White","Male",35,"<=50K"
32,"Private",9,"Single","Blue-Collar","White","Male",40,"<=50K"
38,"Private",7,"Married","Sales","White","Male",50,"<=50K"
43,"Self-Employed",14,"Divorced","White-Collar","White","Female",45,">50K"
40,"Private",16,"Married","Professional","White","Male",60,">50K"
54,"Private",9,"Separated","Service","Black","Female",20,"<=50K"
35,"Government",5,"Married","Blue-Collar","Black","Male",40,"<=50K"
43,"Private",7,"Married","Blue-Collar","White","Male",40,"<=50K"
59,"Private",9,"Divorced","Service","White","Female",40,"<=50K"
56,"Government",13,"Married","Service","White","Male",40,">50K"
19,"Private",9,"Single","Blue-Collar","White","Male",40,"<=50K"
54,"?",10,"Married","?","Asian-Pac-Islander","Male",60,">50K"
39,"Private",9,"Divorced","White-Collar","White","Male",80,"<=50K"
49,"Private",9,"Married","Blue-Collar","White","Male",40,"<=50K"
23,"Government",12,"Single","Service","White","Male",52,"<=50K"
20,"Private",10,"Single","Sales","Black","Male",44,"<=50K"
45,"Private",13,"Divorced","White-Collar","White","Male",40,"<=50K"
30,"Government",10,"Married","White-Collar","White","Male",40,"<=50K"
22,"Government",10,"Married","Service","Black","Male",15,"<=50K"
48,"Private",7,"Single","Blue-Collar","White","Male",40,"<=50K"
21,"Private",10,"Single","Blue-Collar","White","Male",40,"<=50K"
19,"Private",9,"Married","White-Collar","White","Female",25,"<=50K"
31,"Private",10,"Married","Sales","White","Male",38,">50K"
48,"Self-Employed",12,"Married","Professional","White","Male",40,"<=50K"
31,"Private",5,"Married","Blue-Collar","White","Male",43,"<=50K"
53,"Self-Employed",13,"Married","Professional","White","Male",40,"<=50K"
24,"Private",13,"Married","Service","White","Male",50,"<=50K"
49,"Private",9,"Separated","White-Collar","White","Female",40,"<=50K"
25,"Private",9,"Single","Blue-Collar","White","Male",35,"<=50K"
57,"Government",13,"Married","Professional","Black","Male",40,">50K"
53,"Private",9,"Married","Blue-Collar","White","Male",38,"<=50K"
44,"Private",14,"Divorced","White-Collar","White","Female",40,"<=50K"
41,"Government",11,"Married","Blue-Collar","White","Male",40,"<=50K"
29,"Private",11,"Single","Professional","White","Male",43,"<=50K"
25,"Private",10,"Married","White-Collar","Other","Female",40,"<=50K"
18,"Private",9,"Single","Service","White","Female",30,"<=50K"
47,"Private",15,"Married","Professional","White","Female",60,">50K"
50,"Government",13,"Divorced","White-Collar","White","Male",55,">50K"
47,"Self-Employed",9,"Divorced","White-Collar","White","Male",60,"<=50K"
43,"Private",10,"Married","Service","White","Male",40,">50K"
46,"Private",3,"Married","Blue-Collar","White","Male",40,"<=50K"
35,"Private",11,"Married","Service","White","Male",40,"<=50K"
41,"Private",9,"Married","White-Collar","White","Male",48,"<=50K"
30,"Private",9,"Married","Blue-Collar","White","Male",40,"<=50K"
30,"Private",13,"Married","Sales","White","Male",40,"<=50K"
32,"?",4,"Married","?","White","Male",40,"<=50K"
48,"Private",9,"Married","Blue-Collar","White","Male",40,"<=50K"
42,"Private",16,"Married","Professional","White","Male",45,">50K"
29,"Private",10,"Divorced","Service","White","Male",58,"<=50K"
36,"Private",9,"Married","Blue-Collar","White","Male",40,"<=50K"
28,"Private",10,"Divorced","White-Collar","White","Female",40,"<=50K"
53,"Private",9,"Married","White-Collar","White","Female",40,">50K"
49,"Self-Employed",10,"Married","White-Collar","White","Male",50,">50K"
25,"?",10,"Single","?","White","Male",40,"<=50K"
19,"Private",10,"Single","Professional","White","Male",32,"<=50K"
31,"Private",13,"Separated","Sales","Black","Female",40,"<=50K"
29,"Self-Employed",13,"Married","Sales","White","Male",70,">50K"
23,"Private",10,"Single","Blue-Collar","White","Male",40,"<=50K"
79,"Private",10,"Married","Professional","White","Male",20,"<=50K"
27,"Private",9,"Single","Service","White","Male",40,"<=50K"
40,"Private",12,"Married","White-Collar","White","Male",40,"<=50K"
67,"?",6,"Married","?","White","Male",2,"<=50K"
18,"Private",7,"Single","Service","White","Female",22,"<=50K"
31,"Government",4,"Married","Blue-Collar","White","Male",40,"<=50K"
18,"Private",9,"Single","Sales","White","Male",30,"<=50K"
52,"Private",13,"Married","Service","White","Male",40,"<=50K"
46,"Private",9,"Married","Service","White","Female",40,"<=50K"
59,"Private",9,"Married","Sales","White","Male",48,"<=50K"
44,"Private",9,"Divorced","Blue-Collar","White","Female",40,">50K"
53,"Private",9,"Divorced","Sales","White","Female",35,"<=50K"
49,"Government",9,"Married","Service","White","Male",40,">50K"
33,"Private",14,"Married","Professional","White","Male",50,"<=50K"
30,"Private",5,"Single","Sales","White","Male",40,"<=50K"
43,"Government",16,"Single","Professional","White","Female",50,">50K"
57,"Private",11,"Married","Professional","White","Male",40,"<=50K"
37,"Private",10,"Divorced","Blue-Collar","White","Female",40,"<=50K"
28,"Private",10,"Divorced","Blue-Collar","Black","Female",25,"<=50K"
30,"Private",9,"Married","Sales","Asian-Pac-Islander","Female",35,"<=50K"
34,"Government",13,"Married","Service","White","Male",40,">50K"
29,"Government",10,"Single","Blue-Collar","White","Male",50,"<=50K"
48,"Self-Employed",16,"Married","Professional","White","Male",60,">50K"
37,"Private",10,"Married","Sales","White","Male",48,">50K"
48,"Private",12,"Divorced","White-Collar","White","Female",40,"<=50K"
32,"Government",9,"Single","Service","Black","Male",40,"<=50K"
76,"Private",14,"Married","White-Collar","White","Male",40,">50K"
44,"Private",13,"Married","White-Collar","White","Male",60,">50K"
47,"Self-Employed",14,"Single","Professional","White","Female",50,"<=50K"
20,"Private",10,"Single","Service","White","Female",40,"<=50K"
29,"Private",9,"Single","Blue-Collar","White","Male",40,"<=50K"
32,"Self-Employed",9,"Married","Blue-Collar","White","Male",40,">50K"
17,"?",6,"Single","?","White","Female",32,"<=50K"
30,"Private",7,"Single","Blue-Collar","White","Male",40,"<=50K"
31,"Government",9,"Single","White-Collar","White","Female",40,"<=50K"
42,"Private",9,"Married","Blue-Collar","White","Male",40,"<=50K"
24,"Private",13,"Single","Sales","White","Male",40,"<=50K"
38,"Private",15,"Married","Professional","White","Male",40,">50K"
56,"Self-Employed",9,"Married","Service","White","Male",50,">50K"
28,"Private",10,"Married","Sales","White","Female",25,"<=50K"
36,"Private",9,"Single","Blue-Collar","White","Female",40,"<=50K"
53,"Private",5,"Married","Blue-Collar","White","Male",50,"<=50K"
56,"Self-Employed",10,"Married","Sales","White","Male",50,"<=50K"
49,"Government",11,"Married","Blue-Collar","Black","Male",40,">50K"
55,"Private",10,"Married","Sales","White","Male",56,"<=50K"
22,"Private",9,"Single","Blue-Collar","White","Male",41,"<=50K"
21,"Private",10,"Single","Service","White","Female",40,"<=50K"
40,"Private",13,"Married","White-Collar","White","Male",60,"<=50K"
30,"Private",13,"Single","White-Collar","Black","Male",40,"<=50K"
29,"Government",13,"Married","Professional","White","Male",50,">50K"
19,"Private",10,"Single","Service","Black","Male",35,"<=50K"
47,"Private",13,"Married","White-Collar","White","Female",40,">50K"
20,"Private",10,"Single","White-Collar","White","Female",28,"<=50K"
31,"Private",12,"Married","White-Collar","White","Male",40,">50K"
35,"?",9,"Married","?","White","Male",40,"<=50K"
39,"Private",10,"Divorced","Blue-Collar","White","Male",40,"<=50K"
28,"Private",12,"Single","Sales","White","Female",60,"<=50K"
24,"Private",9,"Single","Service","White","Female",40,"<=50K"
38,"Self-Employed",9,"Married","Blue-Collar","White","Male",35,"<=50K"
37,"Private",13,"Married","Sales","White","Male",50,"<=50K"
46,"Private",12,"Divorced","Service","Black","Female",36,"<=50K"
38,"Government",14,"Married","Professional","White","Male",40,">50K"
43,"Self-Employed",9,"Married","Blue-Collar","White","Male",60,"<=50K"
27,"Private",11,"Married","White-Collar","White","Female",35,"<=50K"
20,"Private",10,"Single","Sales","White","Male",20,"<=50K"
49,"Private",10,"Married","Blue-Collar","Asian-Pac-Islander","Male",40,">50K"
61,"Self-Employed",9,"Married","Blue-Collar","White","Male",40,"<=50K"
27,"Private",10,"Single","Sales","White","Female",40,"<=50K"
19,"Private",10,"Single","Service","White","Male",30,"<=50K"
45,"Private",11,"Single","Professional","White","Female",40,">50K"
70,"Private",10,"Single","Service","White","Male",40,"<=50K"
31,"Private",9,"Single","Blue-Collar","Black","Female",30,"<=50K"
22,"Private",10,"Married","Service","White","Male",24,"<=50K"
36,"Private",9,"Widowed","Service","White","Female",24,"<=50K"
64,"Private",7,"Married","Blue-Collar","White","Male",40,"<=50K"
43,"?",10,"Divorced","?","White","Female",40,"<=50K"
47,"Government",10,"Divorced","White-Collar","White","Female",38,"<=50K"
34,"Private",9,"Single","White-Collar","White","Female",40,"<=50K"
33,"Private",13,"Single","White-Collar","Asian-Pac-Islander","Female",40,"<=50K"
21,"Private",9,"Single","Blue-Collar","White","Male",35,"<=50K"
52,"?",9,"Divorced","?","White","Male",45,">50K"
48,"Private",9,"Married","Blue-Collar","White","Male",46,"<=50K"
23,"Private",13,"Single","Blue-Collar","White","Male",40,"<=50K"
71,"Self-Employed",10,"Separated","Sales","Black","Male",2,"<=50K"
29,"Private",9,"Divorced","Blue-Collar","White","Male",60,"<=50K"
42,"Private",13,"Separated","Service","Black","Male",50,"<=50K"
68,"?",2,"Divorced","?","White","Female",20,"<=50K"
25,"Private",9,"Single","Service","White","Female",40,"<=50K"
44,"Self-Employed",14,"Divorced","White-Collar","Asian-Pac-Islander","Female",40,"<=50K"
28,"Private",9,"Single","White-Collar","Asian-Pac-Islander","Female",40,"<=50K"
45,"Self-Employed",14,"Married","Sales","White","Male",40,">50K"
36,"Private",10,"Divorced","Service","White","Female",40,"<=50K"
39,"Government",12,"Single","White-Collar","White","Male",42,"<=50K"
46,"Government",14,"Widowed","Service","White","Male",40,"<=50K"
18,"Private",7,"Single","Blue-Collar","White","Male",16,"<=50K"
66,"Government",11,"Widowed","Professional","White","Female",20,"<=50K"
27,"Private",9,"Single","Service","White","Male",40,"<=50K"
28,"Government",9,"Married","Service","White","Male",40,"<=50K"
51,"Private",10,"Married","Sales","White","Male",40,">50K"
27,"Private",13,"Single","Blue-Collar","White","Male",50,"<=50K"
28,"Government",13,"Married","Professional","White","Male",40,">50K"
27,"Private",9,"Married","Sales","White","Female",25,"<=50K"
21,"Private",9,"Single","Blue-Collar","Black","Male",40,"<=50K"
34,"Private",9,"Single","Blue-Collar","Black","Male",40,"<=50K"
18,"Private",9,"Single","Service","White","Male",12,"<=50K"
33,"Private",13,"Married","Professional","White","Male",65,"<=50K"
44,"Government",10,"Married","White-Collar","Black","Male",38,">50K"
43,"Private",10,"Divorced","White-Collar","White","Female",40,"<=50K"
30,"Private",10,"Single","Blue-Collar","Black","Male",45,"<=50K"
40,"Private",4,"Married","Blue-Collar","White","Male",40,">50K"
37,"Government",10,"Married","White-Collar","White","Male",42,">50K"
34,"Private",9,"Married","White-Collar","Black","Male",40,"<=50K"
41,"Self-Employed",13,"Divorced","White-Collar","White","Female",40,"<=50K"
53,"?",13,"Divorced","?","White","Female",50,"<=50K"
31,"Private",14,"Married","Professional","White","Female",50,"<=50K"
58,"Government",16,"Married","Professional","White","Male",1,">50K"
38,"Private",10,"Divorced","Blue-Collar","Black","Female",28,"<=50K"
24,"Private",10,"Married","Blue-Collar","White","Male",40,"<=50K"
41,"Government",13,"Married","Blue-Collar","Black","Male",40,"<=50K"
47,"Private",10,"Married","Service","White","Male",45,"<=50K"
41,"Government",13,"Married","Service","White","Male",24,"<=50K"
23,"Private",3,"Married","Blue-Collar","White","Male",40,"<=50K"
36,"Private",10,"Divorced","Blue-Collar","White","Male",40,"<=50K"
40,"Government",14,"Single","White-Collar","White","Female",55,">50K"
35,"Private",14,"Married","Professional","White","Male",40,">50K"
24,"Self-Employed",9,"Single","Sales","White","Male",40,"<=50K"
26,"Private",14,"Single","Professional","White","Female",40,"<=50K"
19,"?",9,"Single","?","White","Male",40,"<=50K"
51,"Private",13,"Married","White-Collar","White","Male",50,">50K"
42,"Government",10,"Single","Professional","White","Female",40,"<=50K"
37,"Government",9,"Divorced","White-Collar","White","Female",35,"<=50K"
18,"Private",7,"Single","Sales","White","Female",40,"<=50K"
36,"Private",13,"Married","Service","Black","Male",36,">50K"
35,"Private",9,"Divorced","Blue-Collar","White","Male",60,"<=50K"
58,"Self-Employed",9,"Married","Sales","White","Female",35,">50K"
17,"Private",7,"Single","Sales","White","Female",12,"<=50K"
44,"Government",9,"Married","Blue-Collar","Black","Male",40,"<=50K"
37,"Private",9,"Married","Blue-Collar","White","Male",40,">50K"
35,"Private",10,"Single","Sales","Amer-Indian-Eskimo","Female",40,"<=50K"
60,"Private",9,"Married","Blue-Collar","Asian-Pac-Islander","Male",40,"<=50K"
54,"Self-Employed",4,"Married","Blue-Collar","White","Male",40,">50K"
37,"Private",13,"Single","White-Collar","Black","Male",60,">50K"
50,"Private",12,"Divorced","Sales","White","Female",40,"<=50K"
38,"Private",13,"Married","Sales","White","Male",50,"<=50K"
45,"Private",13,"Married","Professional","White","Male",55,"<=50K"
25,"Private",6,"Single","Blue-Collar","White","Male",40,"<=50K"
31,"Private",10,"Married","Blue-Collar","White","Male",40,"<=50K"
64,"?",2,"Divorced","?","White","Male",40,"<=50K"
90,"Private",9,"Single","Service","Black","Male",40,"<=50K"
54,"Private",9,"Married","White-Collar","Black","Male",20,"<=50K"
53,"Government",1,"Single","Blue-Collar","White","Female",35,"<=50K"
18,"Private",9,"Single","Sales","White","Female",40,"<=50K"
60,"?",6,"Divorced","?","Amer-Indian-Eskimo","Female",10,"<=50K"
66,"Self-Employed",9,"Married","Blue-Collar","White","Male",50,"<=50K"
75,"Private",11,"Widowed","White-Collar","White","Female",20,"<=50K"
65,"Private",9,"Divorced","White-Collar","White","Female",40,"<=50K"
35,"Private",7,"Separated","Blue-Collar","Black","Male",40,"<=50K"
41,"Private",9,"Divorced","Sales","Black","Female",38,"<=50K"
25,"Private",10,"Single","White-Collar","White","Male",42,"<=50K"
33,"Private",10,"Divorced","Blue-Collar","Other","Female",40,"<=50K"
28,"Private",15,"Single","Professional","White","Male",55,">50K"
59,"Government",9,"Married","Service","White","Male",40,"<=50K"
40,"Government",10,"Single","White-Collar","White","Female",38,"<=50K"
41,"Private",13,"Married","White-Collar","White","Male",50,">50K"
38,"Government",14,"Married","White-Collar","White","Male",70,">50K"
23,"Private",9,"Single","Blue-Collar","White","Male",40,"<=50K"
40,"Private",13,"Married","Professional","White","Male",40,">50K"
41,"Self-Employed",9,"Married","Service","White","Female",20,"<=50K"
24,"Government",12,"Married","Service","White","Male",50,"<=50K"
20,"?",10,"Single","?","White","Male",20,"<=50K"
38,"Private",10,"Divorced","Blue-Collar","White","Male",40,"<=50K"
56,"Private",9,"Married","White-Collar","White","Male",35,"<=50K"
58,"Private",9,"Married","White-Collar","White","Male",45,">50K"
32,"Private",9,"Single","Service","White","Female",34,"<=50K"
40,"Private",12,"Married","Service","White","Male",60,">50K"
45,"Private",9,"Married","White-Collar","White","Male",40,"<=50K"
41,"Private",15,"Married","Professional","White","Female",40,">50K"
42,"Private",13,"Married","White-Collar","Black","Female",40,"<=50K"
59,"Government",6,"Widowed","Service","Black","Female",30,"<=50K"
19,"Government",10,"Single","White-Collar","White","Male",40,"<=50K"
58,"Private",10,"Single","Blue-Collar","White","Male",20,"<=50K"
42,"Self-Employed",9,"Married","Blue-Collar","Asian-Pac-Islander","Male",40,">50K"
20,"Private",9,"Single","Service","White","Female",40,"<=50K"
32,"Private",9,"Separated","Service","White","Female",30,"<=50K"
45,"Private",11,"Widowed","White-Collar","White","Female",45,"<=50K"
50,"Private",4,"Divorced","Blue-Collar","White","Male",40,"<=50K"
36,"Private",13,"Divorced","Professional","White","Female",40,"<=50K"
45,"Private",9,"Married","Sales","White","Male",60,"<=50K"
17,"Private",7,"Single","Service","White","Male",12,"<=50K"
59,"Private",10,"Married","Sales","White","Male",40,"<=50K"
26,"Private",7,"Married","Blue-Collar","White","Male",40,"<=50K"
37,"Self-Employed",10,"Married","White-Collar","Asian-Pac-Islander","Male",75,">50K"
19,"?",10,"Single","?","White","Male",24,"<=50K"
64,"Private",9,"Married","White-Collar","White","Male",40,">50K"
33,"Private",13,"Single","Professional","White","Female",45,"<=50K"
33,"Private",9,"Married","Blue-Collar","White","Female",40,">50K"
61,"Private",9,"Married","White-Collar","White","Male",40,">50K"
17,"Private",5,"Single","Service","White","Male",24,"<=50K"
50,"Self-Employed",14,"Married","Blue-Collar","White","Male",98,"<=50K"
27,"Government",14,"Single","Professional","White","Male",35,"<=50K"
30,"Private",9,"Divorced","Professional","White","Female",40,"<=50K"
43,"Private",9,"Married","Blue-Collar","Black","Male",40,"<=50K"
44,"Private",10,"Married","Blue-Collar","White","Male",40,">50K"
35,"Private",10,"Single","White-Collar","White","Female",40,"<=50K"
25,"Private",10,"Single","Service","White","Female",40,"<=50K"
24,"Private",10,"Married","Blue-Collar","White","Female",48,">50K"
22,"Private",13,"Single","Professional","White","Female",15,"<=50K"
42,"Government",10,"Married","Blue-Collar","White","Male",40,">50K"
