gender,age,race,age_partner,attractiveness,sincerity,intelligence,funny,ambitious,shared_interests,race_partner,field_study,from,match
female,24,Caucasian American,30,above,8,7,9,7,7,Caucasian American,Other,Texas/London,0
female,21,Caucasian American,19,average,5,5,5,5,5,Asian-American,Political Science/International Affairs,France,0
male,24,Asian-American,23,average,9,9,5,5,5,Caucasian American,Biological Sciences/Chemistry/Physics,Germany,0
male,26,Caucasian American,28,below,6,5,5,6,0,Caucasian American,"Education, Academia",New Jersey,0
male,36,Caucasian American,35,sligthly_above,9,10,9,10,9,Caucasian American,History/Religion/Philosophy,Pennsylvania,0
male,25,Asian-American,31,average,8,8,7,9,6,Caucasian American,Business/Econ/Finance,los angeles,0
female,23,Asian-American,28,average,5,6,2,3,4,Hispanic American,Political Science/International Affairs,China,0
female,27,Asian-American,28,sligthly_above,8,8,7,8,6,Caucasian American,"Social Science, Psychologist",new jersey,0
male,30,Caucasian American,22,average,9,8,6,6,2,Caucasian American,Business/Econ/Finance,Canada,0
female,26,Caucasian American,22,slightly_below,1,1,1,1,1,Caucasian American,Political Science/International Affairs,94115,0
male,33,Other,29,sligthly_above,7,9,6,8,5,Asian-American,History/Religion/Philosophy,Israel,0
male,27,Asian-American,24,above,9,9,8,9,8,Caucasian American,Biological Sciences/Chemistry/Physics,Canada,0
male,27,Asian-American,24,average,7,6,4,5,4,Asian-American,Engineering,Boston,0
female,24,Caucasian American,23,sligthly_above,7,7,7,7,7,Asian-American,Biological Sciences/Chemistry/Physics,Minnesota,0
male,24,Caucasian American,23,average,9,7,5,6,3,Caucasian American,"Social Science, Psychologist",Israel,0
female,24,Asian-American,25,sligthly_above,8,8,6,7,8,Asian-American,Business/Econ/Finance,taiwan,0
female,26,Hispanic American,27,above,9,9,7,7,8,African American,Business/Econ/Finance,Chile,0
female,29,Caucasian American,25,sligthly_above,7,7,7,5,5,Caucasian American,"Education, Academia",Baltimore,0
male,22,Caucasian American,28,below,6,3,6,5,7,Asian-American,Law,Russia,0
female,31,African American,31,average,7,6,5,6,5,Caucasian American,Business/Econ/Finance,Cameroon,0
male,32,Caucasian American,26,below,6,7,7,7,3,Caucasian American,Engineering,"boston, ma",0
female,22,Asian-American,30,average,6,7,4,5,2,Caucasian American,Engineering,China,0
male,24,Hispanic American,22,sligthly_above,8,9,7,8,7,Caucasian American,Political Science/International Affairs,NYC,0
female,23,Caucasian American,29,sligthly_above,6,6,8,7,3,Caucasian American,English/Creative Writing/Journalism,Kansas,0
male,27,Caucasian American,29,average,7,8,7,6,7,Caucasian American,"Social Science, Psychologist",Russia,0
male,22,Hispanic American,26,average,5,5,5,5,5,Asian-American,Law,Texas,0
male,27,Asian-American,24,average,7,8,7,8,6,Caucasian American,Business/Econ/Finance,Minneapolis,0
male,27,Asian-American,27,below,6,7,5,5,4,Asian-American,"Education, Academia","Cambridge, Massachusetts",0
male,30,Caucasian American,24,average,7,6,4,7,6,Caucasian American,Business/Econ/Finance,UK,0
male,26,Hispanic American,26,sligthly_above,7,7,5,5,5,Asian-American,Engineering,Argentina,0
female,23,Caucasian American,27,above,9,9,9,9,9,Asian-American,Social Work,New York,0
female,24,Caucasian American,24,sligthly_above,8,8,8,8,7,Hispanic American,Film,California,0
female,24,Caucasian American,30,sligthly_above,6,5,5,6,5,Asian-American,"Social Science, Psychologist",NJ,0
