gender,age,race,age_partner,attractiveness,sincerity,intelligence,funny,ambitious,shared_interests,race_partner,field_study,match
female,21,Asian-American,27,average,8,8,8,8,6,Caucasian American,Law,0
female,21,Asian-American,22,sligthly_above,8,10,7,7,5,Caucasian American,Law,0
female,21,Asian-American,22,above,10,10,10,10,10,Asian-American,Law,1
female,21,Asian-American,23,sligthly_above,8,9,8,9,8,Caucasian American,Law,1
female,21,Asian-American,24,sligthly_above,7,9,6,9,7,Hispanic American,Law,1
female,21,Asian-American,25,sligthly_above,7,8,8,7,7,Caucasian American,Law,0
female,21,Asian-American,30,below,6,7,5,8,7,Caucasian American,Law,0
female,21,Asian-American,27,average,7,5,6,8,6,Caucasian American,Law,0
female,21,Asian-American,28,sligthly_above,7,8,8,8,9,Caucasian American,Law,1
female,21,Asian-American,24,average,6,6,6,6,6,Caucasian American,Law,0
female,24,Caucasian American,27,sligthly_above,7,6,9,7,4,Caucasian American,Law,0
female,24,Caucasian American,22,sligthly_above,6,10,6,6,5,Caucasian American,Law,0
female,24,Caucasian American,22,above,10,10,10,10,10,Asian-American,Law,0
female,24,Caucasian American,23,above,9,9,9,9,9,Caucasian American,Law,1
female,24,Caucasian American,24,above,10,10,10,7,8,Hispanic American,Law,0
female,24,Caucasian American,25,sligthly_above,8,7,5,7,7,Caucasian American,Law,0
female,24,Caucasian American,30,average,3,4,3,5,3,Caucasian American,Law,0
female,24,Caucasian American,27,sligthly_above,7,7,7,7,5,Caucasian American,Law,0
female,24,Caucasian American,28,sligthly_above,6,9,9,8,7,Caucasian American,Law,1
female,24,Caucasian American,24,average,5,7,7,9,7,Caucasian American,Law,0
female,25,Caucasian American,27,sligthly_above,8,6,5,8,4,Caucasian American,Math,0
female,25,Caucasian American,22,average,7,10,6,6,5,Caucasian American,Math,0
female,25,Caucasian American,22,above,10,10,10,10,10,Asian-American,Math,0
female,25,Caucasian American,23,sligthly_above,9,8,8,8,8,Caucasian American,Math,0
female,25,Caucasian American,25,sligthly_above,6,6,6,6,6,Caucasian American,Math,0
female,25,Caucasian American,30,average,3,5,4,5,4,Caucasian American,Math,0
female,25,Caucasian American,27,average,5,6,4,6,4,Caucasian American,Math,0
female,25,Caucasian American,28,sligthly_above,7,6,8,7,7,Caucasian American,Math,0
female,25,Caucasian American,24,average,6,8,5,8,6,Caucasian American,Math,0
female,23,Caucasian American,27,average,7,8,7,7,5,Caucasian American,Law,0
female,23,Caucasian American,22,average,5,10,6,6,5,Caucasian American,Law,0
female,23,Caucasian American,22,above,10,10,10,10,10,Asian-American,Law,0
female,23,Caucasian American,23,sligthly_above,7,7,9,9,9,Caucasian American,Law,1
female,23,Caucasian American,24,sligthly_above,8,9,8,8,9,Hispanic American,Law,0
female,23,Caucasian American,25,average,6,7,7,8,7,Caucasian American,Law,0
female,23,Caucasian American,30,sligthly_above,6,3,5,6,5,Caucasian American,Law,0
female,23,Caucasian American,27,average,7,8,6,6,5,Caucasian American,Law,0
female,23,Caucasian American,28,sligthly_above,7,7,10,9,10,Caucasian American,Law,1
female,23,Caucasian American,24,sligthly_above,8,8,7,8,7,Caucasian American,Law,0
female,21,Caucasian American,27,average,8,8,8,7,6,Caucasian American,Law,0
female,21,Caucasian American,22,average,7,10,7,6,5,Caucasian American,Law,0
female,21,Caucasian American,22,above,10,10,10,10,10,Asian-American,Law,0
female,21,Caucasian American,23,average,8,6,8,10,10,Caucasian American,Law,1
female,21,Caucasian American,24,average,9,9,7,9,5,Hispanic American,Law,0
female,21,Caucasian American,25,average,8,7,7,7,7,Caucasian American,Law,0
female,21,Caucasian American,30,below,3,4,4,5,3,Caucasian American,Law,0
female,21,Caucasian American,27,average,5,6,5,5,5,Caucasian American,Law,0
female,21,Caucasian American,28,average,9,9,9,9,6,Caucasian American,Law,1
female,21,Caucasian American,24,below,10,7,7,10,5,Caucasian American,Law,0
female,23,Asian-American,27,sligthly_above,9,8,9,8,4,Caucasian American,Law,0
female,23,Asian-American,22,average,8,10,6,7,6,Caucasian American,Law,0
female,23,Asian-American,22,above,10,10,10,10,10,Asian-American,Law,0
female,23,Asian-American,23,average,8,8,7,9,8,Caucasian American,Law,1
female,23,Asian-American,24,above,7,9,7,9,6,Hispanic American,Law,0
female,23,Asian-American,25,average,6,8,8,8,7,Caucasian American,Law,0
female,23,Asian-American,30,average,6,8,4,5,4,Caucasian American,Law,0
female,23,Asian-American,27,average,7,8,7,8,5,Caucasian American,Law,0
female,23,Asian-American,28,average,7,7,6,6,6,Caucasian American,Law,1
female,23,Asian-American,24,sligthly_above,10,10,6,10,7,Caucasian American,Law,0
female,22,Asian-American,27,sligthly_above,8,8,8,7,7,Caucasian American,Law,0
female,22,Asian-American,22,sligthly_above,9,10,6,6,5,Caucasian American,Law,0
female,22,Asian-American,22,above,10,10,10,10,10,Asian-American,Law,0
female,22,Asian-American,23,sligthly_above,8,9,8,9,9,Caucasian American,Law,1
female,22,Asian-American,24,sligthly_above,7,9,6,9,5,Hispanic American,Law,0
female,22,Asian-American,25,sligthly_above,8,8,6,6,6,Caucasian American,Law,0
female,22,Asian-American,30,sligthly_above,6,5,4,4,3,Caucasian American,Law,0
female,22,Asian-American,27,sligthly_above,7,6,7,7,5,Caucasian American,Law,0
female,22,Asian-American,28,above,7,9,9,9,10,Caucasian American,Law,1
female,22,Asian-American,24,sligthly_above,6,8,6,8,7,Caucasian American,Law,0
female,25,Caucasian American,27,sligthly_above,7,6,6,6,5,Caucasian American,Political Science/International Affairs,0
female,25,Caucasian American,22,sligthly_above,8,10,7,6,5,Caucasian American,Political Science/International Affairs,1
female,25,Caucasian American,22,above,10,10,10,10,10,Asian-American,Political Science/International Affairs,1
female,25,Caucasian American,23,sligthly_above,8,8,8,8,7,Caucasian American,Political Science/International Affairs,1
female,25,Caucasian American,25,sligthly_above,7,7,7,8,7,Caucasian American,Political Science/International Affairs,1
female,25,Caucasian American,30,average,4,7,5,6,4,Caucasian American,Political Science/International Affairs,0
female,25,Caucasian American,27,above,8,8,8,7,5,Caucasian American,Political Science/International Affairs,1
female,25,Caucasian American,28,sligthly_above,7,8,10,8,10,Caucasian American,Political Science/International Affairs,1
female,25,Caucasian American,24,sligthly_above,10,9,9,8,8,Caucasian American,Political Science/International Affairs,1
female,26,Other,27,average,8,7,8,7,5,Caucasian American,Political Science/International Affairs,0
female,26,Other,22,sligthly_above,8,10,7,6,5,Caucasian American,Political Science/International Affairs,1
female,26,Other,22,above,10,10,10,10,10,Asian-American,Political Science/International Affairs,1
female,26,Other,23,sligthly_above,8,7,8,8,7,Caucasian American,Political Science/International Affairs,1
female,26,Other,24,sligthly_above,9,8,9,7,7,Hispanic American,Political Science/International Affairs,1
female,26,Other,25,average,6,7,8,7,7,Caucasian American,Political Science/International Affairs,1
female,26,Other,30,sligthly_above,6,7,8,6,5,Caucasian American,Political Science/International Affairs,1
female,26,Other,27,sligthly_above,7,7,7,6,5,Caucasian American,Political Science/International Affairs,0
female,26,Other,28,average,6,6,7,6,6,Caucasian American,Political Science/International Affairs,1
female,26,Other,24,average,6,6,6,6,6,Caucasian American,Political Science/International Affairs,0
female,26,Caucasian American,27,sligthly_above,8,7,8,6,5,Caucasian American,Political Science/International Affairs,0
female,26,Caucasian American,22,slightly_below,1,1,1,1,1,Caucasian American,Political Science/International Affairs,0
female,26,Caucasian American,22,above,10,10,10,10,10,Asian-American,Political Science/International Affairs,1
female,26,Caucasian American,23,sligthly_above,8,7,9,8,8,Caucasian American,Political Science/International Affairs,0
female,26,Caucasian American,30,sligthly_above,7,4,3,4,4,Caucasian American,Political Science/International Affairs,0
female,26,Caucasian American,27,average,6,6,6,6,5,Caucasian American,Political Science/International Affairs,0
female,26,Caucasian American,28,sligthly_above,7,7,7,6,6,Caucasian American,Political Science/International Affairs,1
