sepal length,sepal width,petal length,abnormality,generality,proximity,obtainability
7.7,3.8,p,0.47000000000000003,0.2649204265159302,0.4259259259259259,2
7.9,3.8,p,0.47000000000000003,0.2649204265159302,0.5,2
5.1,3.8,s,0.54,0.23032548790865237,2.2407407407407427,1
5.1,3.8,p,0.46,0.23045396737564738,2.3796296296296306,2
5.0,3.8,p,0.46,0.23045396737564738,2.4907407407407414,2
4.9,3.8,s,0.54,0.23032548790865237,2.462962962962964,1
4.9,3.8,p,0.46,0.23045396737564738,2.601851851851852,2
5.3,3.8,p,0.48000000000000004,0.22702747595705963,2.1574074074074083,2
5.3,3.8,s,0.56,0.22689899649006462,2.0185185185185204,1
4.8,3.8,s,0.54,0.23032548790865237,2.5740740740740757,1
4.8,3.8,p,0.46,0.23045396737564738,2.7129629629629637,2
5.4,3.8,s,0.56,0.22689899649006462,1.9074074074074083,1
5.1,3.7,p,0.46,0.23045396737564738,2.1296296296296315,2
5.1,3.7,s,0.54,0.23032548790865237,1.9907407407407434,1
5.5,3.8,s,0.56,0.22689899649006462,1.8703703703703718,1
5.5,3.8,p,0.48000000000000004,0.22702747595705963,1.9351851851851862,2
5.0,3.7,s,0.54,0.23032548790865237,2.101851851851854,1
5.2,3.7,s,0.56,0.22689899649006462,1.8796296296296315,1
4.6,3.8,p,0.41000000000000003,0.11229409197205564,2.9351851851851856,2
4.6,3.8,s,0.49000000000000005,0.11216561250506063,2.7962962962962976,1
5.6,3.8,s,0.7,0.2513563649682128,1.759259259259261,1
5.1,2.5,p,0.56,0.3380351420857668,0.9629629629629628,2
5.1,2.5,s,0.64,0.3379066626187718,0.222222222222222,1
4.9,3.7,p,0.46,0.23045396737564738,2.3518518518518525,2
4.5,3.8,p,0.41000000000000003,0.11229409197205564,3.0462962962962963,2
4.5,3.8,s,0.49000000000000005,0.11216561250506063,2.9074074074074083,1
5.7,3.8,s,0.7,0.2513563649682128,1.6574074074074083,1
5.7,3.8,p,0.62,0.2514848444352078,1.7129629629629637,2
4.8,3.7,p,0.46,0.23045396737564738,2.462962962962964,2
4.8,3.7,s,0.54,0.23032548790865237,2.324074074074076,1
5.4,3.7,p,0.48000000000000004,0.22702747595705963,1.7962962962962976,2
5.1,3.6,s,0.54,0.2295183190875597,1.7407407407407425,1
4.4,3.8,s,0.49000000000000005,0.11216561250506063,3.018518518518519,1
5.8,3.8,s,0.7,0.2513563649682128,1.5462962962962976,1
4.7,3.7,s,0.49000000000000005,0.11216561250506063,2.435185185185187,1
5.5,3.7,p,0.48000000000000004,0.22702747595705963,1.685185185185187,2
5.0,3.6,p,0.46,0.22964679855455472,1.9907407407407416,2
5.2,3.6,s,0.56,0.22609182766897196,1.6296296296296309,1
4.3,3.8,p,0.41000000000000003,0.11229409197205564,3.268518518518519,2
4.3,3.8,s,0.49000000000000005,0.11216561250506063,3.129629629629631,1
4.3,3.8,p,0.41000000000000003,0.11229409197205564,3.268518518518519,2
4.6,3.7,p,0.41000000000000003,0.11229409197205564,2.685185185185187,2
5.6,3.7,p,0.62,0.2514848444352078,1.5740740740740762,2
4.9,3.6,s,0.54,0.2295183190875597,1.962962962962964,1
4.9,3.6,p,0.46,0.22964679855455472,2.1018518518518516,2
6.0,3.8,p,0.66,0.2261458288713254,1.3796296296296309,2
4.5,3.7,p,0.41000000000000003,0.11229409197205564,2.7962962962962976,2
4.5,3.7,s,0.49000000000000005,0.11216561250506063,2.657407407407409,1
5.7,3.7,p,0.62,0.2514848444352078,1.4629629629629644,2
5.7,3.7,s,0.7,0.2513563649682128,1.407407407407409,1
4.8,3.6,p,0.46,0.22964679855455472,2.2129629629629637,2
4.8,3.6,s,0.54,0.2295183190875597,2.0740740740740757,1
5.4,3.6,p,0.48000000000000004,0.22622030713596697,1.5462962962962967,2
5.1,3.5,s,0.51,0.2295183190875597,1.490740740740742,1
5.1,3.5,p,0.43000000000000005,0.22964679855455472,1.62962962962963,2
4.4,3.7,s,0.49000000000000005,0.11216561250506063,2.7685185185185204,1
4.4,3.7,p,0.41000000000000003,0.11229409197205564,2.9074074074074083,2
5.5,3.6,p,0.48000000000000004,0.22622030713596697,1.4351851851851862,2
5.5,3.6,s,0.56,0.22609182766897196,1.3703703703703718,1
5.0,3.5,p,0.43000000000000005,0.22964679855455472,1.7407407407407407,2
