dataset,features_varied,metrics,numb_of_cfs,f1_score
Admission,all,dice,100,0.8425531914893618
Admission,all,dice,100,0.6167400881057268
Admission,all,dice,100,0.8205128205128206
Admission,all,dice,100,0.36942675159235666
Admission,all,dice,100,0.0
Admission,all,dice,100,0.8319327731092437
Admission,all,dice,100,0.7378640776699028
Admission,all,dice,100,0.7258064516129032
Admission,all,dice,100,0.8205128205128206
Admission,all,dice,100,0.7248908296943233
Admission,all,dice,100,0.0
Admission,all,dice,100,0.8319327731092437
Admission,all,dice,100,0.8260869565217392
Admission,all,dice,100,0.680672268907563
Admission,all,dice,100,0.8425531914893618
Admission,all,dice,100,0.3576158940397351
Admission,all,dice,100,0.0
Admission,all,dice,100,0.8032128514056226
Admission,all,dice,100,0.7536231884057971
Admission,all,dice,100,0.7360000000000001
Admission,all,dice,100,0.8275862068965517
Admission,all,dice,100,0.29850746268656714
Admission,all,dice,100,0.8471615720524017
Admission,all,dice,100,0.8032128514056226
Admission,all,dice,100,0.8398268398268398
Admission,all,dice,100,0.6106194690265487
Admission,all,dice,100,0.8448275862068965
Admission,all,dice,100,0.6039603960396039
Admission,all,dice,100,0.8448275862068965
Admission,all,dice,100,0.8284518828451883
Admission,all,dice_3,100,0.6236559139784946
Admission,all,dice_3,100,0.7258064516129032
Admission,all,dice_3,100,0.8205128205128206
Admission,all,dice_3,100,0.8583690987124464
Admission,all,dice_3,100,0.0
Admission,all,dice_3,100,0.8319327731092437
Admission,all,dice_3,100,0.8141592920353983
Admission,all,dice_3,100,0.6916666666666667
Admission,all,dice_3,100,0.8205128205128206
Admission,all,dice_3,100,0.8163265306122449
Admission,all,dice_3,100,0.8064516129032258
Admission,all,dice_3,100,0.8
Admission,all,dice_3,100,0.832618025751073
Admission,all,dice_3,100,0.7235772357723577
Admission,all,dice_3,100,0.8311688311688312
Admission,all,dice_3,100,0.8474576271186441
Admission,all,dice_3,100,0.5859872611464968
Admission,all,dice_3,100,0.8032128514056226
Admission,all,dice_3,100,0.0
Admission,all,dice_3,100,0.6133333333333333
Admission,all,dice_3,100,0.8275862068965517
Admission,all,dice_3,100,0.851063829787234
Admission,all,dice_3,100,0.7156862745098039
Admission,all,dice_3,100,0.8319327731092437
Admission,all,dice_3,100,0.43636363636363634
Admission,all,dice_3,100,0.7235772357723577
Admission,all,dice_3,100,0.8305084745762712
Admission,all,dice_3,100,0.8398268398268398
Admission,all,dice_3,100,0.48407643312101906
Admission,all,dice_3,100,0.8
Admission,all,rand,100,0.8558139534883721
Admission,all,rand,100,0.6751054852320675
Admission,all,rand,100,0.8506787330316741
Admission,all,rand,100,0.8583690987124464
Admission,all,rand,100,0.8272251308900523
Admission,all,rand,100,0.863849765258216
Admission,all,rand,100,0.8521739130434782
Admission,all,rand,100,0.6701030927835052
Admission,all,rand,100,0.7526881720430109
Admission,all,rand,100,0.863849765258216
Admission,all,rand,100,0.8412017167381973
Admission,all,rand,100,0.8516746411483254
Admission,all,rand,100,0.8258706467661692
Admission,all,rand,100,0.7574468085106383
Admission,all,rand,100,0.8687782805429863
Admission,all,rand,100,0.8292682926829269
Admission,all,rand,100,0.8672566371681417
Admission,all,rand,100,0.8333333333333334
Admission,all,rand,100,0.8446601941747572
Admission,all,rand,100,0.624203821656051
Admission,all,rand,100,0.4822695035460994
Admission,all,rand,100,0.8354430379746836
Admission,all,rand,100,0.8767123287671232
Admission,all,rand,100,0.8584070796460176
Admission,all,rand,100,0.8699551569506726
Admission,all,rand,100,0.6396396396396397
Admission,all,rand,100,0.8282828282828283
Admission,all,rand,100,0.7668393782383419
Admission,all,rand,100,0.8738738738738738
Admission,all,rand,100,0.8493150684931506
Admission,all,abno,100,0.8474576271186441
Admission,all,abno,100,0.3225806451612903
Admission,all,abno,100,0.8611111111111112
Admission,all,abno,100,0.8205128205128206
