dataset,features_varied,metrics,numb_of_cfs,f1_score
Census,all,dice,100,0.9795918367346939
Census,all,dice,100,0.4692737430167598
Census,all,dice,100,0.6692913385826771
Census,all,dice,99,0.6666666666666667
Census,all,dice,100,0.6460481099656358
Census,all,dice,100,0.7210300429184548
Census,all,dice,99,0.6748971193415638
Census,all,dice,97,0.9797979797979798
Census,all,dice,100,0.6865671641791046
Census,all,dice,100,0.5864661654135338
Census,all,dice,100,0.9795918367346939
Census,all,dice,99,0.4692737430167598
Census,all,dice,100,0.6666666666666665
Census,all,dice,100,0.6666666666666667
Census,all,dice,100,0.5599999999999999
Census,all,dice,100,0.7210300429184548
Census,all,dice,100,0.6256983240223464
Census,all,dice,99,0.9795918367346939
Census,all,dice,100,0.6865671641791046
Census,all,dice,100,0.5864661654135338
Census,all,dice,100,0.9795918367346939
Census,all,dice,100,0.4692737430167598
Census,all,dice,100,0.6692913385826771
Census,all,dice,99,0.6666666666666667
Census,all,dice,100,0.5599999999999999
Census,all,dice,99,0.7210300429184548
Census,all,dice,99,0.6256983240223464
Census,all,dice,100,0.9797979797979798
Census,all,dice,100,0.6814814814814815
Census,all,dice,100,0.5864661654135338
Census,all,dice,100,0.9847715736040609
Census,all,dice,99,0.4692737430167598
Census,all,dice,100,0.6692913385826771
Census,all,dice,99,0.6644067796610169
Census,all,dice,100,0.5599999999999999
Census,all,dice,100,0.7210300429184548
Census,all,dice,99,0.6256983240223464
Census,all,dice,98,0.9797979797979798
Census,all,dice,100,0.6863468634686347
Census,all,dice,100,0.5864661654135338
Census,all,dice,100,0.9795918367346939
Census,all,dice,99,0.4692737430167598
Census,all,dice,100,0.6692913385826771
Census,all,dice,100,0.6666666666666667
Census,all,dice,100,0.5599999999999999
Census,all,dice,99,0.7210300429184548
Census,all,dice,99,0.6256983240223464
Census,all,dice,98,0.9797979797979798
Census,all,dice,98,0.6814814814814815
Census,all,dice,100,0.5864661654135338
Census,all,dice_3,100,0.9847715736040609
Census,all,dice_3,100,0.793103448275862
Census,all,dice_3,100,0.6692913385826771
Census,all,dice_3,99,0.6861313868613138
Census,all,dice_3,100,0.6460481099656358
Census,all,dice_3,100,0.7210300429184548
Census,all,dice_3,99,0.6581196581196581
Census,all,dice_3,97,0.99
Census,all,dice_3,100,0.6814814814814815
Census,all,dice_3,100,0.5864661654135338
