dataset,features_varied,metrics,numb_of_cfs,f1_score
Credit,all,dice,100,0.4422110552763819
Credit,all,dice,100,0.6339285714285714
Credit,all,dice,100,0.4903846153846154
Credit,all,dice,97,0.06451612903225806
Credit,all,dice,100,0.6508474576271186
Credit,all,dice,100,0.17218543046357615
Credit,all,dice,100,0.36923076923076925
Credit,all,dice,100,0.6217228464419475
Credit,all,dice,100,0.5928571428571429
Credit,all,dice,100,0.6036363636363636
Credit,all,dice,99,0.5114155251141552
Credit,all,dice,100,0.5816326530612245
Credit,all,dice,100,0.3846153846153846
Credit,all,dice,95,0.5205479452054794
Credit,all,dice,99,0.6526315789473685
Credit,all,dice,100,0.5114155251141552
Credit,all,dice,100,0.5806451612903226
Credit,all,dice,100,0.6194029850746269
Credit,all,dice,100,0.5928571428571429
Credit,all,dice,99,0.48535564853556484
Credit,all,dice,99,0.4343434343434343
Credit,all,dice,99,0.45544554455445546
Credit,all,dice,100,0.5094339622641509
Credit,all,dice,97,0.44859813084112143
Credit,all,dice,100,0.6506849315068493
Credit,all,dice,100,0.4857142857142857
Credit,all,dice,100,0.4636363636363636
Credit,all,dice,100,0.6217228464419475
Credit,all,dice,100,0.5576208178438661
Credit,all,dice,100,0.4736842105263158
Credit,all,dice,100,0.5271966527196653
Credit,all,dice,100,0.6562499999999999
Credit,all,dice,100,0.46
Credit,all,dice,93,0.26143790849673204
Credit,all,dice,100,0.6508474576271186
Credit,all,dice,100,0.4263959390862944
Credit,all,dice,100,0.4215686274509804
Credit,all,dice,100,0.5923076923076923
Credit,all,dice,100,0.5928571428571429
Credit,all,dice,100,0.5272727272727273
Credit,all,dice,100,0.37948717948717947
Credit,all,dice,98,0.6334841628959275
Credit,all,dice,100,0.3666666666666667
Credit,all,dice,92,0.06504065040650407
Credit,all,dice,99,0.6480836236933798
Credit,all,dice,100,0.3932584269662921
Credit,all,dice,100,0.4401913875598086
Credit,all,dice,99,0.6217228464419475
Credit,all,dice,99,0.5576208178438661
Credit,all,dice,100,0.4938271604938271
Credit,all,dice_3,100,0.5772357723577236
Credit,all,dice_3,100,0.6016260162601627
Credit,all,dice_3,100,0.6476868327402137
Credit,all,dice_3,97,0.6
Credit,all,dice_3,100,0.536964980544747
Credit,all,dice_3,100,0.6347826086956522
Credit,all,dice_3,100,0.4230769230769231
Credit,all,dice_3,100,0.5101214574898785
Credit,all,dice_3,100,0.6615969581749049
Credit,all,dice_3,100,0.4067796610169491
Credit,all,dice_3,99,0.627906976744186
Credit,all,dice_3,100,0.15625
Credit,all,dice_3,100,0.6106870229007633
Credit,all,dice_3,95,0.6022304832713755
Credit,all,dice_3,99,0.5301204819277109
Credit,all,dice_3,100,0.5520361990950226
Credit,all,dice_3,100,0.36458333333333337
Credit,all,dice_3,100,0.5101214574898785
Credit,all,dice_3,100,0.6615969581749049
Credit,all,dice_3,99,0.41228070175438597
Credit,all,dice_3,99,0.592
Credit,all,dice_3,99,0.5851528384279476
Credit,all,dice_3,100,0.6374501992031872
Credit,all,dice_3,97,0.6060606060606061
Credit,all,dice_3,100,0.536964980544747
Credit,all,dice_3,100,0.6397058823529411
Credit,all,dice_3,100,0.3146067415730337
Credit,all,dice_3,100,0.5101214574898785
Credit,all,dice_3,100,0.6615969581749049
Credit,all,dice_3,100,0.4210526315789474
Credit,all,dice_3,100,0.225
Credit,all,dice_3,100,0.4835164835164836
Credit,all,dice_3,100,0.41025641025641024
Credit,all,dice_3,93,0.032786885245901634
Credit,all,dice_3,100,0.536964980544747
Credit,all,dice_3,100,0.640625
Credit,all,dice_3,100,0.3076923076923077
Credit,all,dice_3,100,0.5101214574898785
Credit,all,dice_3,100,0.6615969581749049
Credit,all,dice_3,100,0.4155844155844156
Credit,all,dice_3,100,0.627906976744186
Credit,all,dice_3,98,0.6141078838174274
Credit,all,dice_3,100,0.4752475247524752
Credit,all,dice_3,92,0.4869565217391305
Credit,all,dice_3,99,0.536964980544747
Credit,all,dice_3,100,0.597609561752988
Credit,all,dice_3,100,0.35175879396984927
Credit,all,dice_3,99,0.3928571428571428
Credit,all,dice_3,99,0.6615969581749049
Credit,all,dice_3,100,0.42241379310344823
Credit,all,rand,100,0.09859154929577466
Credit,all,rand,100,0.49339207048458145
Credit,all,rand,100,0.5702811244979918
Credit,all,rand,97,0.4927536231884058
Credit,all,rand,100,0.5692307692307692
Credit,all,rand,100,0.42574257425742573
Credit,all,rand,100,0.42045454545454547
Credit,all,rand,100,0.5348837209302325
Credit,all,rand,100,0.4051724137931035
Credit,all,rand,100,0.32608695652173914
Credit,all,rand,99,0.4263959390862944
Credit,all,rand,100,0.43523316062176165
Credit,all,rand,100,0.5800865800865801
Credit,all,rand,95,0.416243654822335
Credit,all,rand,99,0.6029411764705882
Credit,all,rand,100,0.5488372093023256
Credit,all,rand,100,0.4120603015075377
Credit,all,rand,100,0.37209302325581395
Credit,all,rand,100,0.2487046632124352
Credit,all,rand,99,0.06666666666666667
Credit,all,rand,99,0.31764705882352945
Credit,all,rand,99,0.16551724137931034
Credit,all,rand,100,0.5535714285714285
Credit,all,rand,97,0.27428571428571424
Credit,all,rand,100,0.5612648221343872
Credit,all,rand,100,0.3289473684210526
Credit,all,rand,100,0.6141078838174274
Credit,all,rand,100,0.3925233644859813
Credit,all,rand,100,0.49612403100775193
Credit,all,rand,100,0.27807486631016043
Credit,all,rand,100,0.2576687116564417
Credit,all,rand,100,0.418848167539267
Credit,all,rand,100,0.3023255813953488
Credit,all,rand,93,0.5485232067510548
Credit,all,rand,100,0.5955882352941176
Credit,all,rand,100,0.593607305936073
Credit,all,rand,100,0.34285714285714286
Credit,all,rand,100,0.45217391304347826
Credit,all,rand,100,0.3257918552036199
Credit,all,rand,100,0.4691358024691358
