dataset,features_varied,metrics,numb_of_cfs,f1_score
Wine,all,dice,96,0.6936416184971099
Wine,all,dice,100,0.6254826254826255
Wine,all,dice,94,0.29197080291970806
Wine,all,dice,100,0.6217616580310881
Wine,all,dice,98,0.4923076923076923
Wine,all,dice,98,0.7136150234741785
Wine,all,dice,100,0.6185567010309279
Wine,all,dice,93,0.7340823970037452
Wine,all,dice,98,0.7304347826086957
Wine,all,dice,98,0.7800829875518672
Wine,all,dice,96,0.6936416184971099
Wine,all,dice,99,0.6254826254826255
Wine,all,dice,96,0.3724137931034483
Wine,all,dice,95,0.6851851851851852
Wine,all,dice,97,0.4923076923076923
Wine,all,dice,100,0.6965174129353233
Wine,all,dice,99,0.552941176470588
Wine,all,dice,89,0.7340823970037452
Wine,all,dice,91,0.5609756097560976
Wine,all,dice,98,0.771186440677966
Wine,all,dice,98,0.6936416184971099
Wine,all,dice,97,0.6254826254826255
Wine,all,dice,95,0.6079295154185023
Wine,all,dice,99,0.6851851851851852
Wine,all,dice,98,0.4923076923076923
Wine,all,dice,97,0.7120418848167539
Wine,all,dice,100,0.544378698224852
Wine,all,dice,86,0.7340823970037452
Wine,all,dice,95,0.7304347826086957
Wine,all,dice,97,0.7782426778242677
Wine,all,dice,99,0.6936416184971099
Wine,all,dice,100,0.6254826254826255
Wine,all,dice,91,0.39097744360902253
Wine,all,dice,100,0.6851851851851852
Wine,all,dice,96,0.4923076923076923
Wine,all,dice,99,0.7162790697674418
Wine,all,dice,95,0.6185567010309279
Wine,all,dice,88,0.7340823970037452
Wine,all,dice,98,0.7304347826086957
Wine,all,dice,97,0.7557603686635944
Wine,all,dice,97,0.6931818181818182
Wine,all,dice,96,0.627906976744186
Wine,all,dice,92,0.08849557522123894
Wine,all,dice,98,0.6851851851851852
Wine,all,dice,96,0.4923076923076923
Wine,all,dice,98,0.6774193548387097
Wine,all,dice,98,0.6185567010309279
Wine,all,dice,92,0.7340823970037452
Wine,all,dice,97,0.7304347826086957
Wine,all,dice,98,0.7782426778242677
Wine,all,dice_3,96,0.6791044776119403
Wine,all,dice_3,100,0.5843621399176955
Wine,all,dice_3,94,0.46715328467153283
Wine,all,dice_3,100,0.5555555555555555
Wine,all,dice_3,98,0.5333333333333334
Wine,all,dice_3,98,0.6745098039215686
Wine,all,dice_3,100,0.5683060109289617
Wine,all,dice_3,93,0.6691729323308271
Wine,all,dice_3,98,0.6859205776173286
Wine,all,dice_3,98,0.6827586206896552
Wine,all,dice_3,96,0.6370967741935484
Wine,all,dice_3,99,0.5843621399176955
Wine,all,dice_3,96,0.6229508196721312
Wine,all,dice_3,95,0.5555555555555555
Wine,all,dice_3,97,0.5333333333333334
Wine,all,dice_3,100,0.6745098039215686
Wine,all,dice_3,99,0.583732057416268
Wine,all,dice_3,89,0.6819923371647509
Wine,all,dice_3,91,0.6859205776173286
Wine,all,dice_3,98,0.6827586206896552
Wine,all,dice_3,98,0.6791044776119403
Wine,all,dice_3,97,0.5843621399176955
Wine,all,dice_3,95,0.5798319327731092
Wine,all,dice_3,99,0.5555555555555555
Wine,all,dice_3,98,0.5333333333333334
Wine,all,dice_3,97,0.6745098039215686
Wine,all,dice_3,100,0.5524861878453038
Wine,all,dice_3,86,0.6692913385826771
Wine,all,dice_3,95,0.6859205776173286
Wine,all,dice_3,97,0.6827586206896552
Wine,all,dice_3,99,0.6791044776119403
Wine,all,dice_3,100,0.5843621399176955
Wine,all,dice_3,91,0.0
Wine,all,dice_3,100,0.5555555555555555
Wine,all,dice_3,96,0.5333333333333334
Wine,all,dice_3,99,0.6745098039215686
Wine,all,dice_3,95,0.5524861878453038
Wine,all,dice_3,88,0.6691729323308271
Wine,all,dice_3,98,0.6859205776173286
Wine,all,dice_3,97,0.6827586206896552
Wine,all,dice_3,97,0.6425702811244981
Wine,all,dice_3,96,0.5843621399176955
Wine,all,dice_3,92,0.6229508196721312
Wine,all,dice_3,98,0.5555555555555555
Wine,all,dice_3,96,0.5333333333333334
Wine,all,dice_3,98,0.6770428015564202
Wine,all,dice_3,98,0.673076923076923
Wine,all,dice_3,92,0.6692913385826771
Wine,all,dice_3,97,0.6859205776173286
Wine,all,dice_3,98,0.6827586206896552
Wine,all,rand,96,0.13084112149532712
Wine,all,rand,100,0.25196850393700787
Wine,all,rand,94,0.5133689839572193
Wine,all,rand,100,0.6802030456852791
Wine,all,rand,98,0.6153846153846154
Wine,all,rand,98,0.14814814814814814
Wine,all,rand,100,0.40277777777777773
Wine,all,rand,93,0.6886446886446885
Wine,all,rand,98,0.7280701754385964
Wine,all,rand,98,0.7725321888412018
Wine,all,rand,96,0.49624060150375937
Wine,all,rand,99,0.4571428571428572
Wine,all,rand,96,0.5151515151515151
Wine,all,rand,95,0.3582089552238806
Wine,all,rand,97,0.21666666666666667
Wine,all,rand,100,0.5341614906832297
Wine,all,rand,99,0.0
Wine,all,rand,89,0.7185185185185184
Wine,all,rand,91,0.7468879668049793
Wine,all,rand,98,0.7829787234042553
Wine,all,rand,98,0.6761904761904762
Wine,all,rand,97,0.46052631578947373
Wine,all,rand,95,0.5690376569037657
Wine,all,rand,99,0.6373626373626374
Wine,all,rand,98,0.4683544303797469
Wine,all,rand,97,0.5277777777777778
Wine,all,rand,100,0.0
Wine,all,rand,86,0.688888888888889
Wine,all,rand,95,0.43971631205673756
Wine,all,rand,97,0.7470817120622568
Wine,all,rand,99,0.7537688442211055
Wine,all,rand,100,0.1754385964912281
Wine,all,rand,91,0.6115702479338843
Wine,all,rand,100,0.5935483870967742
Wine,all,rand,96,0.36986301369863017
Wine,all,rand,99,0.20869565217391303
Wine,all,rand,95,0.09433962264150944
Wine,all,rand,88,0.6785714285714285
Wine,all,rand,98,0.6701030927835052
Wine,all,rand,97,0.7338709677419354
Wine,all,rand,97,0.4461538461538462
Wine,all,rand,96,0.35384615384615387
Wine,all,rand,92,0.5185185185185185
Wine,all,rand,98,0.6810810810810811
Wine,all,rand,96,0.417910447761194
Wine,all,rand,98,0.32786885245901637
Wine,all,rand,98,0.3384615384615385
Wine,all,rand,92,0.712121212121212
Wine,all,rand,97,0.6867924528301887
Wine,all,rand,98,0.7647058823529411
Wine,all,abno,96,0.6666666666666666
Wine,all,abno,100,0.6403508771929824
Wine,all,abno,94,0.6498194945848376
Wine,all,abno,100,0.6458333333333334
Wine,all,abno,98,0.4472049689440994
Wine,all,abno,98,0.6851851851851852
Wine,all,abno,100,0.45945945945945954
Wine,all,abno,93,0.7011070110701108
Wine,all,abno,98,0.6980392156862745
Wine,all,abno,98,0.7603305785123967
Wine,all,abno,96,0.715909090909091
Wine,all,abno,99,0.6311475409836066
Wine,all,abno,96,0.6569343065693432
Wine,all,abno,95,0.6256410256410256
Wine,all,abno,97,0.45679012345679015
Wine,all,abno,100,0.6948356807511737
Wine,all,abno,99,0.4489795918367347
Wine,all,abno,89,0.7011070110701108
Wine,all,abno,91,0.6612903225806451
Wine,all,abno,98,0.7863247863247863
Wine,all,abno,98,0.6666666666666666
Wine,all,abno,97,0.6466165413533834
Wine,all,abno,95,0.583732057416268
Wine,all,abno,99,0.6943005181347149
Wine,all,abno,98,0.4342105263157895
Wine,all,abno,97,0.6824644549763034
Wine,all,abno,100,0.45945945945945954
Wine,all,abno,86,0.7011070110701108
Wine,all,abno,95,0.6850393700787402
Wine,all,abno,97,0.7811158798283262
Wine,all,abno,99,0.6666666666666666
Wine,all,abno,100,0.6255506607929516
Wine,all,abno,91,0.4895833333333333
Wine,all,abno,100,0.6021505376344087
Wine,all,abno,96,0.5111111111111112
Wine,all,abno,99,0.6824644549763034
Wine,all,abno,95,0.4743589743589744
Wine,all,abno,88,0.7153284671532847
Wine,all,abno,98,0.7076923076923077
Wine,all,abno,97,0.7863247863247863
Wine,all,abno,97,0.7071823204419889
Wine,all,abno,96,0.6351931330472104
Wine,all,abno,92,0.6593406593406593
Wine,all,abno,98,0.6096256684491977
Wine,all,abno,96,0.5625000000000001
Wine,all,abno,98,0.6948356807511737
Wine,all,abno,98,0.4900662251655629
Wine,all,abno,92,0.7011070110701108
Wine,all,abno,97,0.6929133858267715
Wine,all,abno,98,0.7634854771784233
Wine,all,gene,96,0.6890756302521008
Wine,all,gene,100,0.6444444444444444
Wine,all,gene,94,0.6515151515151516
Wine,all,gene,100,0.6919431279620853
Wine,all,gene,98,0.12962962962962962
Wine,all,gene,98,0.7111111111111111
Wine,all,gene,100,0.5576923076923077
Wine,all,gene,93,0.7158671586715868
Wine,all,gene,98,0.6863468634686347
Wine,all,gene,98,0.7307692307692308
Wine,all,gene,96,0.6392694063926941
Wine,all,gene,99,0.6444444444444444
Wine,all,gene,96,0.691358024691358
Wine,all,gene,95,0.6919431279620853
Wine,all,gene,97,0.12962962962962962
Wine,all,gene,100,0.7142857142857142
Wine,all,gene,99,0.5576923076923077
Wine,all,gene,89,0.7158671586715868
Wine,all,gene,91,0.6863468634686347
Wine,all,gene,98,0.6347305389221557
Wine,all,gene,98,0.6392694063926941
Wine,all,gene,97,0.6444444444444444
Wine,all,gene,95,0.6816143497757847
Wine,all,gene,99,0.6162790697674418
Wine,all,gene,98,0.12962962962962962
Wine,all,gene,97,0.6824644549763034
Wine,all,gene,100,0.5948275862068966
